Country,Year,HappinessScore,LifeLadder,LogGDP,SocialSupport,HealthyLifeExpectancyAtBirth,FreedomToMakeLifeChoices,Generosity,PerceptionsOfCorruption,PositiveAffect,NegativeAffect,ConfidenceInNationalGovernment
Netherlands,2018,7.488,7.4630970954895,10.8092041015625,0.939443171024323,72.3000030517578,0.919985175132751,0.155536487698555,0.37055778503418,0.861976623535156,0.204794183373451,0.656541049480438
New Zealand,2018,7.307,7.370285987854,10.5014772415161,0.953862726688385,73.1999969482422,0.949300169944763,0.116750031709671,0.206580221652985,0.845362603664398,0.167951449751854,0.642461240291595
Nicaragua,2018,6.105,5.81895256042481,8.61451244354248,0.854276537895203,67.5,0.79705685377121,0.002830008743331,0.712824761867523,0.792649328708649,0.408349841833115,0.343466877937317
Niger,2018,4.628,5.16400718688965,6.84451770782471,0.612025678157806,53.5,0.790665626525879,0.023082649335265,0.637166798114777,0.770557641983032,0.502554535865784,0.747923851013184
Nigeria,2018,5.265,5.25228834152222,8.57763290405273,0.740854203701019,49.7000007629395,0.7898810505867,-0.020767036825419,0.865602672100067,0.805261850357056,0.256469875574112,0.451740950345993
North Cyprus,2018,5.718,5.60805606842041,,0.837391793727875,,0.79706609249115,,0.613837003707886,0.480453103780746,0.261867821216583,0.378323644399643
Norway,2018,7.554,7.44426202774048,11.0856256484985,0.965961933135986,73.1999969482422,0.960429012775421,0.075728490948677,0.268201440572739,0.827414035797119,0.211862370371819,0.679502964019775
Pakistan,2018,5.653,5.47155380249023,8.56166362762451,0.685059487819672,58.5,0.772569119930267,0.053521562367678,0.798841655254364,0.567294776439667,0.376706063747406,0.589388489723206
Palestinian Territories,2018,4.696,4.55392169952393,,0.819479286670685,,0.65453451871872,,0.813779532909393,0.610405445098877,0.418928533792496,0.392373383045197
Panama,2018,6.321,6.28143405914307,10.0497303009033,0.904389798641205,69.5999984741211,0.861448109149933,-0.122782208025455,0.836930990219116,0.883580505847931,0.222598746418953,0.277477711439133
Peru,2018,5.697,5.6796612739563,9.43434810638428,0.845301389694214,68.0999984741211,0.829641997814178,-0.188079550862312,0.90624463558197,0.808621466159821,0.380032867193222,0.202403098344803
Philippines,2018,5.631,5.8691725730896,8.98570251464844,0.845803260803223,61.9000015258789,0.917808175086975,-0.113129161298275,0.726483345031738,0.772846102714539,0.393481075763702,0.802007138729095
Portugal,2018,5.693,5.91982269287109,10.2620124816895,0.887113273143768,72.4000015258789,0.87740421295166,-0.262738108634949,0.879727840423584,0.679104149341583,0.317994743585587,0.520630657672882
Romania,2018,6.07,6.15087890625,10.1120929718018,0.817930459976196,67.1999969482422,0.845159590244293,-0.220031842589378,0.921170175075531,0.735342502593994,0.2984539270401,0.2263513058424
Russia,2018,5.648,5.51350021362305,10.1323900222778,0.908726096153259,64.3000030517578,0.729282200336456,-0.156226307153702,0.865311563014984,0.673346281051636,0.198796302080154,0.455838739871979
Rwanda,2018,3.334,3.5610466003418,7.5675311088562,0.616172730922699,61.0999984741211,0.924231648445129,0.057107586413622,0.163809955120087,0.793367624282837,0.308199167251587,0.988120436668396
Saudi Arabia,2018,6.375,6.35639333724976,10.7979717254639,0.86784839630127,66.3000030517578,0.854921519756317,-0.209563508629799,,0.764405488967896,0.288379907608032,
Senegal,2018,4.681,4.7693772315979,7.85069370269775,0.73935478925705,59.5999984741211,0.629223465919495,-0.061628066003323,0.804779469966888,0.713894128799439,0.247074723243713,0.588927924633026
Serbia,2018,5.603,5.93649339675903,9.58480358123779,0.852945327758789,68.1999969482422,0.739891827106476,-0.098511449992657,0.863723576068878,0.558940827846527,0.29629585146904,0.476144999265671
Sierra Leone,2018,4.374,4.30568313598633,7.26616621017456,0.64963835477829,50.7999992370606,0.716484487056732,0.101580701768398,0.855733215808868,0.551628053188324,0.466266661882401,0.779726207256317
Singapore,2018,6.262,6.3745641708374,,0.902840673923492,76.8000030517578,0.916078209877014,,0.096562929451466,0.787092983722687,0.106870777904987,0.89246928691864
Slovakia,2018,6.198,6.23511075973511,10.3522357940674,0.922378718852997,68.9000015258789,0.757634043693543,-0.179692462086678,0.909944653511047,0.75410521030426,0.253190040588379,0.327658623456955
Slovenia,2018,6.118,6.24941921234131,10.3972034454346,0.940971195697784,71.0999984741211,0.942045867443085,-0.122396409511566,0.839252531528473,0.643971621990204,0.27548485994339,0.239274635910988
South Africa,2018,4.722,4.88392210006714,9.41172409057617,0.841343998908997,56.5,0.752731323242188,-0.059033662080765,0.841192603111267,0.812166571617126,0.282708495855331,0.524685800075531
South Korea,2018,5.895,5.84023141860962,10.5115776062012,0.797723829746246,73.5999984741211,0.600161671638489,-0.093965843319893,0.796825885772705,0.66120857000351,0.217145726084709,0.389084011316299
Spain,2018,6.354,6.51337099075317,10.465594291687,0.910314679145813,74.4000015258789,0.722250699996948,-0.079350598156452,0.776504456996918,0.659188032150269,0.357190847396851,0.285195618867874
Sri Lanka,2018,4.366,4.40022325515747,9.40038776397705,0.828065395355225,67.1999969482422,0.852628171443939,0.08676241338253,0.858016669750214,0.831292986869812,0.301279366016388,0.576130390167236
Swaziland,2018,4.212,4.2115650177002,8.94677066802979,0.779269754886627,,0.709973692893982,-0.179937720298767,0.692341148853302,0.824354708194733,0.252339154481888,0.68954873085022
Sweden,2018,7.343,7.37479209899902,10.7669324874878,0.930679559707642,72.5999984741211,0.94172465801239,0.069573253393173,0.262796580791473,0.822675704956055,0.160755425691605,0.494396239519119
